Season,metric,value_column,weight_column,n_players,mean,median,p25,p75,weighted_mean,age_standardized_weighted_mean,weight_sum
2024,Age-Adjusted RAPM,RAPM_at_ref,Poss,20,2.338985416152948,2.320918734626357,0.7493778851704131,4.042711798184866,2.546981511417563,2.741803850656238,120208.0
1997,BRef BPM,BRef_BPM,BRef_MP,18,-2.7333333333333334,-2.85,-3.7,-1.725,-1.9819799734021746,-1.9917666060429515,25566.0
1998,BRef BPM,BRef_BPM,BRef_MP,13,-1.2538461538461538,-1.4,-3.8,-0.5,-0.4583054626532886,-0.6659311980561017,22425.0
1999,BRef BPM,BRef_BPM,BRef_MP,14,-0.75,-0.85,-2.45,1.35,0.05053683515031381,0.3233685187272978,12108.0
2000,BRef BPM,BRef_BPM,BRef_MP,14,-1.9571428571428575,-2.55,-3.375,-0.35000000000000003,-0.9259107420861442,-0.8267386458651972,19270.0
2001,BRef BPM,BRef_BPM,BRef_MP,15,-3.0533333333333332,-2.5,-4.300000000000001,-1.4,-2.365654978962132,-4.171722368880096,17825.0
2002,BRef BPM,BRef_BPM,BRef_MP,20,-1.685,-1.2000000000000002,-3.625,-0.30000000000000004,-0.8843180973615756,-1.1718345277906095,26910.0
2003,BRef BPM,BRef_BPM,BRef_MP,18,-2.711111111111111,-2.7,-4.55,-1.5499999999999998,-2.048629353528182,-2.0128084372081236,25353.0
2004,BRef BPM,BRef_BPM,BRef_MP,16,-2.25,-2.7,-4.0,-0.75,-1.5384868937372471,-1.6453487371109794,25484.0
2005,BRef BPM,BRef_BPM,BRef_MP,20,-1.3350000000000002,-0.6499999999999999,-2.8249999999999997,0.325,-1.0361834987171163,-1.1348072688828221,32349.0
2006,BRef BPM,BRef_BPM,BRef_MP,20,-2.77,-2.55,-3.55,-1.7,-1.424459266684659,-1.8363324545593582,25937.0
2007,BRef BPM,BRef_BPM,BRef_MP,20,-1.5550000000000002,-1.75,-2.9,-0.575,-1.5139357580302462,-1.6045188871170162,24003.0
2008,BRef BPM,BRef_BPM,BRef_MP,20,-2.4600000000000004,-3.0,-4.1,-1.0750000000000002,-2.4020818240744273,-2.515146724200341,26227.0
2009,BRef BPM,BRef_BPM,BRef_MP,20,-1.725,-1.2000000000000002,-2.925,-0.75,-1.3865523767115662,-1.680720855681583,35932.0
2010,BRef BPM,BRef_BPM,BRef_MP,20,-1.0150000000000001,-0.9500000000000001,-2.275,0.55,-0.7381993486182322,-0.9814511236972268,31011.0
