Season,value,series,series_type,z_score,cohort,combined_z_score
2008,1.4164363519622427,Age-Adjusted RAPM,impact,-1.0530939382668074,All qualifying,-1.125041834816598
2009,2.268533390228802,Age-Adjusted RAPM,impact,0.09521786906971481,All qualifying,-0.0029951584202774608
2010,2.2081962289718327,Age-Adjusted RAPM,impact,0.013905680925632824,All qualifying,-0.08244750740308472
2011,1.6920731468410726,Age-Adjusted RAPM,impact,-0.6816374352144635,All qualifying,-0.7620815900356802
2012,2.4984894544172427,Age-Adjusted RAPM,impact,0.4051136342438408,All qualifying,0.29981241624835187
2013,2.038371363678637,Age-Adjusted RAPM,impact,-0.21495545722857087,All qualifying,-0.30607394560703166
2014,1.1836445728695677,Age-Adjusted RAPM,impact,-1.3668111988346936,All qualifying,-1.4315834964971672
2015,2.139560731784334,Age-Adjusted RAPM,impact,-0.078589596353059,All qualifying,-0.17282715671944632
2016,2.0440800982120004,Age-Adjusted RAPM,impact,-0.2072621934625723,All qualifying,-0.29855664848953434
2017,1.4536836632191523,Age-Adjusted RAPM,impact,-1.0028983321479799,All qualifying,-1.0759943438341912
2018,3.0414182170174544,Age-Adjusted RAPM,impact,1.1367808982267467,All qualifying,1.01474438554005
2019,2.090898420687964,Age-Adjusted RAPM,impact,-0.14416840239834397,All qualifying,-0.23690599044303529
2020,1.903417012630319,Age-Adjusted RAPM,impact,-0.3968240329901769,All qualifying,-0.4837826739075493
2021,1.4919872020031193,Age-Adjusted RAPM,impact,-0.9512793217851693,All qualifying,-1.0255560058789277
2022,1.3256548862499962,Age-Adjusted RAPM,impact,-1.1754337942728292,All qualifying,-1.2445834331397552
2023,1.5712292679419908,Age-Adjusted RAPM,impact,-0.8444903108287906,All qualifying,-0.9212095609031686
2024,2.3341596567247254,Age-Adjusted RAPM,impact,0.183657815818019,All qualifying,0.08342191721684607
1997,-1.9935764539145695,BRef BPM,impact,-0.1533799070922117,All qualifying,-0.20900460740718968
1998,-0.6616513957682915,BRef BPM,impact,1.3865350677466193,All qualifying,1.3186488178665081
1999,0.3318037628197052,BRef BPM,impact,2.535125573033538,All qualifying,2.458093688725077
2000,-0.8360872477497847,BRef BPM,impact,1.1848597715487077,All qualifying,1.1185793581471024
2001,-4.189381108312613,BRef BPM,impact,-2.692075645600493,All qualifying,-2.7274860197110202
2002,-1.201597364293586,BRef BPM,impact,0.7622725557903037,All qualifying,0.6993569866666467
2003,-2.0152778564655396,BRef BPM,impact,-0.17847014363281313,All qualifying,-0.23389506332095766
2004,-1.6540315044916385,BRef BPM,impact,0.23918748928591166,All qualifying,0.1804369770482011
2005,-1.3380231653531693,BRef BPM,impact,0.6045428601733276,All qualifying,0.5428832113519608
2006,-1.848058207076573,BRef BPM,impact,0.014862086740382825,All qualifying,-0.04210223789153583
2007,-1.6535895334666975,BRef BPM,impact,0.23969847734457825,All qualifying,0.18094389637222266
2008,-2.524147745138443,BRef BPM,impact,-0.7668038167769913,All qualifying,-0.8175441385412477
2009,-1.8110301334085712,BRef BPM,impact,0.057672367080141326,All qualifying,0.0003671662421593213
2010,-1.0527924343019148,BRef BPM,impact,0.9343144725802289,All qualifying,0.8700290223108801
2011,-1.8310498873594456,BRef BPM,impact,0.034526380965542225,All qualifying,-0.022594520310051443
2012,-1.4263173330003334,BRef BPM,impact,0.5024609073493229,All qualifying,0.44161408452465645
2013,-1.6542098691693135,BRef BPM,impact,0.2389812716489252,All qualifying,0.1802324014160126
2014,-3.088252140050606,BRef BPM,impact,-1.4189972714947985,All qualifying,-1.4645445127956904
2015,-2.713135765064153,BRef BPM,impact,-0.9853037092212242,All qualifying,-1.0343042289152646
2016,-1.3513762822929805,BRef BPM,impact,0.5891045555850744,All qualifying,0.5275678340291757
2017,-3.056763482099591,BRef BPM,impact,-1.3825914274724387,All qualifying,-1.428428549752628
2018,-1.6271634667930757,BRef BPM,impact,0.2702511691404934,All qualifying,0.21125331282441756
2019,-1.702944591163433,BRef BPM,impact,0.18263626354629203,All qualifying,0.1243360395833922
