draw,challenger_minus_control_rmse
0,0.0002197315643970521
1,-0.0006020595024101682
2,-0.0004703858441641895
3,0.0005923743933146763
4,1.6596703975579885e-07
5,0.0006139499797564341
6,0.00051913624055413
7,0.0016102374299096223
8,0.0007215044838260187
9,-0.00011530873726339763
10,-0.0005102495003462381
11,0.00023745386935873912
12,0.0019506311515936846
13,-0.0009819902978513318
14,0.0013238381118636732
15,-0.00041080153031745057
16,0.00020799855421020917
17,0.0011696566481709247
18,9.341231008759276e-05
19,-0.0005791478300748887
20,-0.0004825960884552227
21,0.0016428447080857778
22,-0.00019531023667376246
23,-0.0002742280637986649
24,-0.000842703989011695
25,0.0002941844867696775
26,0.00022116352469718769
27,-0.00046137586942520683
28,-0.0002824435630085054
29,0.0003134117289302907
30,0.000773018085849686
31,0.0007751596434178998
32,0.0006685629968960161
33,0.0015728380321190284
34,4.635162170099072e-05
35,-0.00010290763107825284
36,-0.00029109925596331187
37,0.0003857269986087264
38,-0.0004895483833742276
39,0.0008189987200741377
40,0.0001493079005720821
41,0.00015225244469032617
42,0.00036552053008822585
43,0.0023755239737965894
44,0.0005374425053778387
45,-0.0004650558360365986
46,-0.0002692366652180311
47,0.0007106440881843312
48,-0.0001187594704903816
49,0.00023994977818144747
50,0.0018511655634872559
51,-9.983098930661516e-05
52,-4.423021613095823e-05
53,-0.000157348563451154
54,-0.0006208177870534071
55,0.0018794679774345902
56,-3.2827926866652034e-06
57,4.600783107724382e-05
58,3.561894717283298e-05
59,-0.00044514769525163536
60,-0.00026298499773886875
61,8.881850626387688e-05
62,5.9916296070050556e-05
63,-0.00020352076913066064
64,0.00018197031713076405
65,0.0006159446436824645
66,0.00016107825483968607
67,-0.0009057333447707982
68,-0.0005632009075968059
69,0.0001808074835710105
70,-0.0004939810394859467
71,-0.00036101193177600076
72,-0.00013618307104168448
73,-0.000506919389926086
74,0.001672906273255892
75,0.0018579080150896265
76,0.00031236170767721114
77,6.400890115876301e-06
78,-3.3459499996935096e-05
79,-0.0003959350658616634
80,0.0005317264083708917
81,-0.0005618314379873812
82,-0.0001619715264390642
83,-0.00018599433482195947
84,0.00016894710572084025
85,0.0003181453681812219
86,0.00020649672155110822
87,0.0007899987622727478
88,0.0006478154554423688
89,-0.0007549283207689994
90,-8.929692921180176e-05
91,2.307109649384298e-05
92,0.0009292050408363561
93,-0.0001783875066654339
94,0.0011354833426250987
95,0.0021177876711893084
96,-9.628297264661079e-05
97,0.00013095237639340062
98,0.000150514259184642
99,-0.0001174373067729606
100,-0.000463191741808866
101,0.0012561789665388012
102,-0.0009476926416019937
103,0.0008242720663693027
104,-0.0008180433660479158
105,-8.502020071214922e-05
106,-7.043596336102631e-05
107,-0.0006281783363365045
108,-0.00016354375928147037
109,-0.0005191174120918074
110,0.0008345892341157235
111,-9.700711599307521e-05
112,-0.0002640897327236269
113,0.0005883768342926698
114,1.7284144621454446e-05
115,0.0001114401118030628
116,-0.0005385230606187897
117,-0.0004533380140964827
118,0.00033966585794500406
119,0.00035447466262952256
120,0.0008000502334345238
121,-8.261382227614522e-05
122,-9.803689313241382e-05
123,-1.3584790609599829e-05
124,-0.00027314884148861297
125,-0.00027944630459331155
126,-5.793161526963519e-05
127,-0.0008046866945055964
128,-0.0005774270741766951
129,-0.00020185933070520078
130,-0.000527510542694487
131,0.0003471719690556041
132,0.001825878218928856
133,0.0008352414842082822
134,0.0016657799991074197
135,-0.00011967241366042102
136,-0.00047263873199747674
137,0.00043001601242322887
138,0.00022689507538777853
139,-0.0001988658664905385
140,0.0007108799725786374
141,1.0024767020455628e-05
142,-0.0003765878797681088
143,0.00047299385089265565
144,0.0006674858427072827
145,-0.0003304428738678977
146,-0.0001302049898460389
147,9.920777798886338e-05
148,0.0004177348538811909
149,4.506144262101941e-05
150,-0.0007450468736211801
151,-0.0005087518751172749
152,0.0018313402568820524
153,-0.000179589982309869
154,-0.000454601831681023
155,0.0003793450785319674
156,0.0010461337848667984
157,0.00031332790896643203
158,-0.0002069843385620551
159,0.0006919050673003912
160,-3.976762893154184e-05
161,-7.55006588251117e-05
162,0.0012132694808643762
163,6.442938540487386e-05
164,-0.0006743298045738477
165,-0.000587494263830668
166,0.0006896319800504758
167,-0.0007930441478143591
168,-0.0008511471352646404
169,0.00090145078438435
170,-0.0002845590378983909
171,0.0009884756660864635
172,5.609298377118321e-06
173,-0.00016258441736307638
174,0.0003567434057960117
175,0.00011490026004867815
176,0.0011804475554496152
177,-0.000991351871156798
178,-0.0003254796632805146
179,-0.0005725744538847444
180,-0.0005920054089198379
181,0.00021362961054209871
182,0.0003471623653409139
183,0.00019316911309648078
184,0.0018980915365916396
185,-0.0003929449780373462
186,0.0006997032217755494
187,0.001218810328398079
188,-0.0010167570416127702
189,-0.00033918209557390886
190,0.0014063702446556192
191,0.0009898513602216053
192,0.0009489388548066469
193,-0.00019033402383086261
194,0.0008894143839820901
195,0.00019943535470217099
196,-0.0002445078902850506
197,0.0005712754962474698
198,-4.427236162092285e-05
199,-0.0002626170447947329
200,8.156280960287532e-05
201,0.0010405167285365336
202,0.00017392512787168802
203,0.0003405515028747974
204,-0.00042407568747502287
205,0.00039482128228454096
206,-0.0004817159729042286
207,0.0006309971550770177
208,0.002016807011613997
209,-0.0005670717342325382
210,0.0005343449769561692
211,0.0008057037771810327
212,0.0002670430941148494
213,-0.0012968451880014387
214,0.000808593105954114
215,-0.0002739532889099561
216,0.0009202889037101869
217,-0.0007299272885087138
218,-0.00028085989345889574
219,-0.0008852805486084137
220,-0.0003113894804844364
221,-0.0006129647705829022
222,0.00014007683690320238
223,0.001190689416054025
224,0.0011986303286416699
225,-0.0010699038346497548
226,-0.0004264985332763205
227,-0.00045611593732439724
228,-0.00043287828718698853
229,-0.0004092103222214538
230,-0.0009982351718879957
231,-0.00036255311764707974
232,0.00030167405473247033
233,-0.0003220247378170393
234,-0.0006094350084857592
235,3.148813493623059e-05
236,6.418220569963662e-05
237,-0.0006586821592946101
238,0.0007890085994279872
239,0.00028604225995469966
240,1.3204354841889198e-05
241,0.0001484597985043523
242,0.000697793874078978
243,0.00027545267522925964
244,0.0004947488261642929
245,-0.0003013908753231709
246,-0.00024790085279919883
247,0.00023549486504648165
248,0.0002916561700431641
249,0.0008404600850129285
250,-0.0006507147709434946
251,-0.0007727047948397736
252,0.0005178356883961621
253,0.00028921168164144364
254,0.0003559948342365171
255,-0.0007432398407809515
256,-1.4615139942031341e-05
257,0.0007324733593831346
258,0.0014283644839683252
259,-0.0002393949954491159
260,0.0007634149796584388
261,-2.8565647034484166e-05
262,-0.0002210681820970839
263,-8.101108406917134e-05
264,-0.0004899008155258899
265,-0.0003350250926496434
266,-0.00048716014018410634
267,0.0006194802117498677
268,-0.0002227832583896694
269,-6.365275185467034e-05
270,0.0015161775324906922
271,-0.0004569770089336789
272,-0.0003560263296635835
273,-0.000775369615818855
274,-9.134449000887112e-05
275,-0.00010894348363457151
276,0.0026141909528527353
277,-0.00047602342873753756
278,9.010173737573623e-05
279,0.00034537039588384834
280,0.00041252252854837577
281,0.0006795851613488946
282,-0.0003844806173101123
283,0.00015695499636507736
284,0.0005651475462616018
285,0.0016686019498582283
286,0.0012187592532252544
287,-0.0003992377122427504
288,-0.0008824736284481105
289,0.0009653584273373817
290,-0.00041531964930716645
291,-0.00018001906675386704
292,-0.00019277626844647067
293,-0.0006619908876553726
294,0.0015843406688712757
295,0.0014562599158596922
296,0.00036128564880282265
297,0.0003711435287736764
298,0.0008860537757074738
299,0.00168531998753092
