test_season,arm,component,train_start,train_end,rows,weighted_rmse,weighted_correlation,correlation,dispersion_ratio,calibration_slope,calibration_intercept
2020,control,defense,2014,2019,529,0.9269472547958029,0.612397275917349,0.5639028660038979,0.6319765298463318,0.969019017314229,0.05401974450667008
2020,control,net,2014,2019,529,1.2901878431245724,0.6162974381038507,0.5705859162575263,0.6963378306696699,0.8850552288838822,-0.01733394824118905
2020,challenger,defense,2014,2019,529,0.9282402180884485,0.610933577682424,0.562175103752556,0.6308649639563573,0.9684062558349458,0.05335655777911294
2020,challenger,net,2014,2019,529,1.2899744858706155,0.6164766796627654,0.5707618937866962,0.6965960253669885,0.884984492034657,-0.017910339700832868
2021,control,defense,2014,2020,540,0.8787096984960618,0.5875733566411177,0.5653867226920629,0.6192894811730499,0.9487862695942192,0.03402495443679247
2021,control,net,2014,2020,540,1.310642796911792,0.6562066779334444,0.6505238967856429,0.6588394689091636,0.9960038960931132,-0.08365197727932111
2021,challenger,defense,2014,2020,540,0.8761420294633498,0.5904758750599722,0.5673849936098376,0.6184130142698464,0.9548244642896802,0.03127928575874996
2021,challenger,net,2014,2020,540,1.307637801127875,0.658330091579994,0.6521569832544688,0.6582819692463521,1.000073102919251,-0.08649784593823467
2022,control,defense,2014,2021,605,0.8994856005912815,0.6181626728417826,0.5887069399026589,0.6315176963836965,0.9788524951582679,0.00022707863286927478
2022,control,net,2014,2021,605,1.3963322911345186,0.6364001606866312,0.6077145721578113,0.6053331116900859,1.0513222362969807,-0.09286842309039976
2022,challenger,defense,2014,2021,605,0.9018472083627433,0.615553327269487,0.5872940911621023,0.6299933108094455,0.9770791478382437,-0.001982288487435222
2022,challenger,net,2014,2021,605,1.3970983409475308,0.6360031367192992,0.6073603096880179,0.6046312929557942,1.051885908203892,-0.09512505953351712
2023,control,defense,2014,2022,539,0.910523480677265,0.5884866244597166,0.5512256710460115,0.5842625285953241,1.0072297908177472,0.13473823350396102
2023,control,net,2014,2022,539,1.3437167559693295,0.6737384634552386,0.6488582565581466,0.6266642701769641,1.075118680796946,-0.0047876897996663665
2023,challenger,defense,2014,2022,539,0.9087514653591755,0.5919458751986224,0.5534585476776137,0.5869653092523309,1.0084852816133814,0.14168625966847395
2023,challenger,net,2014,2022,539,1.3408325402109311,0.6755469744771887,0.6498707518300304,0.6270163895947535,1.077399228613148,0.0027623155482485334
2024,control,defense,2014,2023,572,0.9796485221865098,0.6189958947875205,0.5738129709793619,0.5778447621163761,1.0712148579843954,0.09504115446061094
2024,control,net,2014,2023,572,1.4292129177147204,0.6755979167505582,0.6484130574213148,0.6114990472464025,1.104822517373976,-0.05600740830220021
2024,challenger,defense,2014,2023,572,0.9808268892378641,0.6172853836236672,0.5730976765426514,0.5769071505090904,1.0699908695514444,0.08972302423507683
2024,challenger,net,2014,2023,572,1.43008161095265,0.6752723439668021,0.6481485401832173,0.6107934820028549,1.1055657335315934,-0.06133033480164183
