Name,Season,Offensive Prior RAPM,Defensive Prior RAPM,Offensive Raw RAPM,Defensive Raw RAPM,Offensive Final RAPM,Defensive Final RAPM,RAPM
Nikola Jokic,2017,1.67,-1.09,3.74,0.13,4.99,-1.1,6.09
Nikola Jokic,2019,2.54,-2.18,1.91,-0.47,3.65,-2.39,6.04
Kyrie Irving,2022,3.8,-1.08,2.81,0.41,5.62,-0.41,6.03
Kyle Lowry,2017,2.58,-0.07,2.99,-0.76,5.01,-1.0,6.01
Draymond Green,2017,0.52,-2.91,1.64,-2.65,1.44,-4.51,5.95
Kemba Walker,2019,4.48,-0.33,2.48,0.68,5.93,-0.01,5.94
Danny Green,2019,1.25,-0.42,3.49,-1.66,4.37,-1.54,5.9
Jimmy Butler,2017,2.8,-0.95,1.18,-1.83,3.41,-2.48,5.89
Anthony Edwards,2024,3.64,0.08,1.58,-1.51,4.6,-1.27,5.87
Kyrie Irving,2021,3.99,-0.2,2.76,0.28,5.83,-0.03,5.86
Rudy Gobert,2022,0.26,-4.19,1.14,-1.82,1.11,-4.73,5.84
LeBron James,2018,3.75,-1.61,3.48,1.97,5.97,0.14,5.84
Derrick White,2023,1.39,-1.56,2.14,-2.26,2.87,-2.96,5.83
Russell Westbrook,2017,3.98,0.46,2.77,0.24,6.27,0.45,5.82
De'Aaron Fox,2024,3.99,-1.1,1.22,-0.9,4.1,-1.7,5.81
Rudy Gobert,2017,0.48,-1.45,1.52,-2.61,1.7,-4.1,5.81
Kyrie Irving,2019,3.19,-1.49,1.67,-0.8,4.26,-1.52,5.79
Chris Paul,2020,3.05,-0.93,2.35,-0.42,4.67,-1.12,5.78
Jalen Brunson,2024,3.94,1.01,3.51,-0.34,6.13,0.4,5.74
Darius Garland,2022,3.11,1.36,2.66,-1.57,5.05,-0.61,5.67
Jimmy Butler,2021,3.01,-1.01,0.83,-1.69,3.14,-2.52,5.66
Kemba Walker,2017,3.09,-0.13,2.66,-0.28,5.27,-0.35,5.61
Anthony Davis,2017,2.22,-2.73,-0.17,-2.16,1.5,-4.11,5.61
Paul George,2021,2.29,-0.15,2.18,-1.41,3.97,-1.63,5.6
Jayson Tatum,2023,4.3,-0.15,2.76,-0.32,5.55,-0.01,5.57
Stephen Curry,2021,4.22,-0.41,1.65,-0.08,5.43,-0.14,5.57
Luka Doncic,2021,3.88,0.19,2.31,0.14,5.57,0.05,5.52
Chris Paul,2019,2.43,-2.17,0.44,-1.87,2.2,-3.31,5.51
Paul George,2022,2.04,-2.21,-0.07,-2.22,1.81,-3.7,5.51
LaMarcus Aldridge,2018,2.82,-0.77,1.7,-1.37,3.81,-1.69,5.49
Devin Booker,2023,4.09,1.04,3.53,-0.01,6.45,0.97,5.48
Paul George,2020,3.16,-2.93,1.1,-0.59,3.07,-2.42,5.48
Shai Gilgeous-Alexander,2023,3.5,-0.75,1.97,-0.76,4.5,-0.98,5.48
Pascal Siakam,2020,2.63,-1.02,1.02,-2.03,3.02,-2.44,5.46
LeBron James,2024,3.82,0.9,2.53,-0.74,5.25,-0.2,5.46
Draymond Green,2023,0.15,-2.39,1.81,-1.91,1.69,-3.75,5.45
Anthony Davis,2020,3.32,-3.22,0.39,-1.15,2.56,-2.88,5.44
Brandin Podziemski,2024,2.23,-0.18,2.28,-1.33,4.05,-1.35,5.4
Jayson Tatum,2021,4.19,0.08,1.8,-0.39,5.08,-0.3,5.38
Fred VanVleet,2024,1.91,-0.76,1.65,-1.73,3.25,-2.12,5.37
Alex Caruso,2021,0.99,-2.78,0.23,-2.1,1.23,-4.12,5.36
Fred VanVleet,2021,2.37,-1.58,0.81,-1.09,2.82,-2.52,5.34
Clint Capela,2021,1.0,-2.33,0.54,-1.82,1.3,-4.03,5.33
Otto Porter Jr.,2018,1.25,-0.24,2.39,-1.46,3.48,-1.81,5.29
Luka Doncic,2024,3.88,0.97,2.42,-0.53,5.13,-0.15,5.29
Patrick Patterson,2017,0.62,-1.0,2.51,-1.47,2.88,-2.4,5.28
Jusuf Nurkic,2019,1.15,-1.26,2.12,-1.2,2.86,-2.4,5.26
Derrick White,2024,1.85,-0.76,2.66,-1.41,3.6,-1.64,5.24
Karl-Anthony Towns,2020,4.21,-0.77,2.82,1.81,6.15,0.93,5.22
