Name,Season,Offensive Prior RAPM,Defensive Prior RAPM,Offensive Raw RAPM,Defensive Raw RAPM,Offensive Final RAPM,Defensive Final RAPM,RAPM
Landry Shamet,2023,1.23,-0.39,-0.65,-1.34,0.65,-1.53,2.18
Jeremy Lamb,2021,1.75,-0.9,0.89,1.14,2.6,0.42,2.17
Isaiah Hartenstein,2019,-0.43,-1.8,0.35,-0.46,0.01,-2.16,2.17
Lonzo Ball,2020,1.36,-1.11,-0.08,-0.55,0.85,-1.31,2.16
Thabo Sefolosha,2017,0.83,-1.43,-0.18,-0.72,0.5,-1.66,2.16
Evan Mobley,2022,0.34,-2.16,-1.36,-1.53,-0.96,-3.12,2.16
Jordan Clarkson,2020,2.42,1.21,1.59,0.82,3.43,1.27,2.16
Myles Turner,2023,0.56,-0.71,0.97,-0.15,1.3,-0.85,2.15
Jevon Carter,2020,0.98,-1.58,-0.74,-0.84,0.26,-1.89,2.15
Trevelin Queen,2023,1.06,-0.86,-0.12,-0.38,0.96,-1.2,2.15
Harrison Barnes,2023,0.58,0.74,1.55,-0.53,1.85,-0.3,2.15
Enes Freedom,2021,0.0,0.0,2.19,0.4,2.05,-0.1,2.15
Larry Nance Jr.,2021,0.71,-2.31,-1.85,-1.36,-1.11,-3.25,2.14
Chris Duarte,2022,1.51,-0.59,-0.9,-1.15,0.46,-1.69,2.14
Monte Morris,2021,0.95,-0.49,0.76,-0.3,1.45,-0.69,2.14
Devin Booker,2019,3.43,1.36,1.39,1.46,4.15,2.01,2.14
Kyle Anderson,2021,1.05,-1.72,-1.06,-0.8,-0.0,-2.14,2.14
Robert Covington,2023,1.26,-1.06,-0.45,-0.6,0.75,-1.39,2.14
Monte Morris,2019,1.75,0.12,-0.07,-0.83,1.32,-0.82,2.14
Matisse Thybulle,2020,0.44,-2.24,-0.15,-0.36,0.37,-1.77,2.14
Frank Ntilikina,2022,0.34,-0.94,-0.47,-1.26,0.14,-2.0,2.13
Royce O'Neale,2021,0.5,0.04,1.66,-0.45,1.56,-0.57,2.13
John Konchar,2021,0.96,-1.51,0.37,0.57,1.48,-0.65,2.13
Darren Collison,2017,1.85,-0.25,0.95,0.65,2.43,0.3,2.12
CJ McCollum,2021,2.85,1.25,1.17,0.35,3.48,1.36,2.12
Raul Neto,2021,1.15,-2.83,-1.0,0.24,0.27,-1.85,2.12
Jordan Goodwin,2024,1.93,-0.54,-1.25,-1.12,0.81,-1.3,2.11
Dennis Smith Jr.,2021,1.13,-0.96,-0.55,-0.43,0.69,-1.42,2.1
Isaiah Hartenstein,2021,0.71,-0.45,0.15,-0.61,1.02,-1.08,2.1
Andre Drummond,2020,1.39,-2.72,-0.71,0.63,0.44,-1.66,2.1
Willie Cauley-Stein,2019,0.42,-0.35,0.83,-0.26,1.21,-0.88,2.09
Josh Hart,2019,0.49,-0.49,-1.07,-2.16,-0.49,-2.58,2.09
Reggie Jackson,2020,1.69,1.18,1.45,-0.03,2.83,0.74,2.08
Mitchell Robinson,2020,1.02,-0.69,0.07,-0.1,1.15,-0.93,2.08
Nic Claxton,2021,0.0,0.0,0.25,-1.57,0.4,-1.67,2.07
Tony Bradley,2020,1.81,-0.2,0.56,0.45,1.92,-0.15,2.07
Greg Monroe,2017,0.8,-0.37,1.9,0.59,2.43,0.37,2.07
Royce O'Neale,2022,0.86,-1.35,0.81,-0.09,0.9,-1.16,2.06
Josh Huestis,2018,-0.37,-0.46,0.96,-0.94,0.81,-1.25,2.06
Toumani Camara,2024,-0.32,-0.96,-0.99,-2.01,-0.91,-2.97,2.06
Dario Saric,2018,1.49,-0.15,1.03,-0.2,2.08,0.03,2.06
John Henson,2019,0.67,-2.3,-0.45,0.26,0.2,-1.85,2.06
D'Angelo Russell,2022,1.49,0.74,1.49,0.04,2.58,0.52,2.06
Danilo Gallinari,2020,2.02,0.51,2.47,1.52,3.79,1.74,2.05
Ersan Ilyasova,2018,0.35,-0.96,0.74,-0.57,0.99,-1.07,2.05
Jose Calderon,2018,1.35,-0.43,0.54,-0.22,1.54,-0.51,2.05
Maxi Kleber,2021,0.5,-0.06,0.42,-1.08,0.72,-1.32,2.05
Montrezl Harrell,2019,0.43,-0.93,0.98,0.38,1.26,-0.79,2.05
Justin Holiday,2018,0.42,0.81,0.47,-0.98,1.09,-0.95,2.04
DeMarcus Cousins,2022,0.28,-0.68,1.37,0.63,1.89,-0.15,2.04
OG Anunoby,2018,0.0,0.0,0.86,-1.31,0.9,-1.14,2.04
Goran Dragic,2018,1.98,-0.83,0.51,0.36,2.13,0.08,2.04
Kira Lewis Jr.,2021,0.3,-0.74,0.4,-0.58,0.85,-1.19,2.04
Alan Williams,2017,0.95,-1.03,0.05,-0.32,0.84,-1.19,2.04
Tobias Harris,2021,1.78,0.32,0.38,-0.78,1.97,-0.06,2.03
Corey Brewer,2019,0.83,-1.61,-0.34,-0.35,0.42,-1.61,2.03
Chris Boucher,2020,0.69,-1.09,0.41,-0.26,1.15,-0.88,2.03
Jared Dudley,2018,0.0,0.0,1.08,-0.73,1.17,-0.86,2.03
Delon Wright,2020,1.25,-1.93,-0.11,0.13,0.99,-1.03,2.02
Dwight Powell,2021,0.13,-0.3,0.04,-1.57,0.19,-1.84,2.02
Caris LeVert,2021,2.38,0.31,0.02,0.02,2.24,0.22,2.02
Kenrich Williams,2024,0.92,-0.05,0.5,-0.82,1.43,-0.6,2.02
Khem Birch,2018,0.66,-0.68,0.31,-0.43,0.95,-1.07,2.02
Kris Dunn,2020,0.7,-0.74,-1.21,-2.02,-0.6,-2.62,2.02
David Nwaba,2019,0.52,-0.48,0.9,0.19,1.55,-0.47,2.01
Jarace Walker,2024,1.47,-0.07,0.72,0.16,2.18,0.17,2.01
Khem Birch,2019,0.8,-0.86,0.23,-0.02,1.03,-0.98,2.01
De'Anthony Melton,2023,1.6,-1.66,0.16,0.39,1.31,-0.69,2.0
Maxi Kleber,2024,-0.1,-0.93,0.52,-0.8,0.35,-1.65,2.0
Ricky Rubio,2017,0.67,-0.9,0.44,0.3,1.12,-0.88,2.0
Aaron Gordon,2024,1.28,-0.14,0.08,-1.15,0.63,-1.36,1.99
Aron Baynes,2018,-0.53,-0.44,-0.82,-2.42,-1.0,-2.99,1.99
Tobias Harris,2020,1.07,0.62,1.17,-0.39,2.22,0.22,1.99
D'Angelo Russell,2024,1.77,1.07,1.37,-0.01,2.72,0.73,1.99
Aaron Holiday,2020,0.94,-0.09,0.97,0.14,2.11,0.12,1.99
Devin Booker,2017,0.47,0.59,1.32,0.33,2.28,0.3,1.98
Brook Lopez,2017,1.41,-0.74,0.25,0.36,1.55,-0.43,1.98
Langston Galloway,2018,1.06,-0.13,-0.76,-1.82,0.25,-1.73,1.98
Karl-Anthony Towns,2024,0.9,1.42,1.67,-0.47,2.6,0.62,1.98
Maxi Kleber,2022,-0.05,-1.35,-0.5,-1.43,-0.52,-2.49,1.98
Caris LeVert,2024,1.52,-0.34,0.23,-0.62,1.44,-0.54,1.98
Ersan Ilyasova,2019,0.2,-0.32,0.46,-1.08,0.69,-1.29,1.98
Klay Thompson,2018,1.21,1.47,1.61,-1.03,2.26,0.29,1.98
Khris Middleton,2022,2.25,0.33,1.19,0.11,2.55,0.57,1.97
Delon Wright,2017,1.29,-0.07,-0.34,-1.03,0.88,-1.1,1.97
Luguentz Dort,2021,0.85,-0.25,0.31,-0.13,1.21,-0.76,1.97
Mike Scott,2017,1.82,-1.16,-0.81,0.03,0.98,-0.99,1.97
Nicolas Batum,2024,0.55,-0.82,1.2,-0.07,1.49,-0.48,1.97
Dwight Powell,2020,-0.34,-0.35,1.37,-0.44,1.12,-0.85,1.97
Trey Lyles,2024,1.09,0.83,1.49,-0.56,2.4,0.43,1.97
Bam Adebayo,2024,1.02,-1.54,-1.45,-1.41,-0.62,-2.58,1.96
Danny Green,2018,1.08,-1.14,0.15,-0.5,0.91,-1.05,1.96
Hamidou Diallo,2023,0.01,0.08,0.13,-1.6,0.49,-1.47,1.96
Aaron Wiggins,2024,1.33,-0.5,0.47,-0.15,1.8,-0.16,1.96
Dwight Buycks,2018,1.18,-0.47,-0.47,-0.96,0.7,-1.26,1.96
Spencer Dinwiddie,2018,1.26,0.11,1.17,0.66,2.4,0.44,1.96
Onyeka Okongwu,2022,0.59,-0.17,0.6,-0.55,1.06,-0.9,1.96
Reggie Jackson,2018,1.59,0.61,0.93,-0.09,2.37,0.42,1.95
Zaza Pachulia,2017,0.01,-0.65,0.9,-1.02,0.59,-1.37,1.95
Braxton Key,2022,0.25,-0.89,0.25,-0.51,0.58,-1.37,1.95
Otto Porter Jr.,2017,1.17,0.34,0.55,-0.27,1.52,-0.43,1.95
Luke Kennard,2018,0.8,0.07,0.85,-0.69,1.51,-0.44,1.95
Devonte' Graham,2020,1.83,0.68,1.18,0.61,2.71,0.76,1.95
Taj Gibson,2021,0.41,-1.16,0.48,-0.58,0.68,-1.27,1.95
Jared Dudley,2017,0.66,-0.47,-0.67,-1.37,-0.0,-1.95,1.95
Keldon Johnson,2022,1.14,-0.07,1.16,0.05,1.96,0.02,1.94
Kristaps Porzingis,2017,0.64,-0.9,-0.27,-0.62,0.41,-1.53,1.94
Ed Davis,2018,-0.12,-1.52,0.48,-0.46,0.54,-1.4,1.94
Naz Reid,2024,1.12,-0.22,-0.48,-1.68,0.53,-1.41,1.94
Sam Hauser,2023,0.93,0.48,0.56,-1.08,1.45,-0.48,1.94
Kristaps Porzingis,2021,1.75,-0.43,0.83,0.74,2.1,0.17,1.94
Al Horford,2024,0.53,0.19,1.36,-0.64,1.52,-0.41,1.93
Jordan McLaughlin,2023,0.0,0.0,0.02,-1.59,0.44,-1.49,1.93
Malik Monk,2022,1.39,1.13,2.33,1.03,3.47,1.53,1.93
Chris Boucher,2024,0.4,0.35,1.42,-0.24,1.93,0.0,1.93
Derrick Jones Jr.,2017,0.2,0.02,0.89,-0.8,1.19,-0.74,1.93
Bogdan Bogdanovic,2020,2.12,0.42,0.34,0.2,2.11,0.19,1.92
Jevon Carter,2024,0.64,-0.39,-0.67,-1.88,0.06,-1.86,1.92
Domantas Sabonis,2023,0.48,-0.67,1.73,0.74,1.73,-0.19,1.92
Zach LaVine,2022,2.31,0.56,1.35,0.92,3.15,1.23,1.92
Jerami Grant,2021,1.14,0.17,-0.13,-0.64,1.15,-0.76,1.92
Cameron Johnson,2021,0.85,-0.05,0.43,-0.55,1.22,-0.69,1.91
Monte Morris,2023,1.5,-0.24,2.01,1.48,3.26,1.35,1.91
Bogdan Bogdanovic,2023,1.57,0.46,1.92,1.12,3.24,1.33,1.91
Andre Iguodala,2020,-0.17,-1.79,-0.22,-0.49,-0.21,-2.12,1.91
Kentavious Caldwell-Pope,2018,1.13,0.3,0.95,-0.14,1.98,0.09,1.89
De'Aaron Fox,2022,2.65,1.02,1.23,1.41,3.57,1.68,1.89
Justise Winslow,2018,0.67,-1.13,-0.68,-1.39,-0.18,-2.07,1.89
Ish Smith,2018,1.25,-0.2,0.58,-0.3,1.65,-0.23,1.89
Terry Rozier,2022,2.14,0.27,0.69,0.1,2.21,0.32,1.89
Dāvis Bertāns,2021,0.82,-0.42,1.24,0.35,2.07,0.19,1.89
Gary Payton II,2023,0.55,-0.99,1.38,0.84,1.82,-0.07,1.88
Will Barton,2018,1.94,0.12,0.89,0.21,2.1,0.22,1.88
Cameron Payne,2018,2.46,-0.41,-0.32,0.59,1.93,0.05,1.88
Bojan Bogdanovic,2021,1.31,0.12,1.17,-0.07,1.84,-0.04,1.88
Kelan Martin,2021,1.03,-0.18,0.13,-0.49,1.22,-0.65,1.88
Wesley Matthews,2019,1.35,-0.13,0.29,0.15,1.68,-0.19,1.87
Quinn Cook,2021,1.55,-0.32,-0.19,-0.2,1.43,-0.44,1.87
Victor Oladipo,2021,1.66,-1.24,-1.0,-0.38,0.5,-1.36,1.86
Kevin Love,2018,1.8,0.27,1.55,0.72,2.66,0.79,1.86
Pat Connaughton,2021,0.83,0.29,0.69,-0.8,1.45,-0.41,1.86
Buddy Hield,2022,1.82,0.87,1.51,1.22,3.17,1.32,1.85
Royce O'Neale,2019,0.19,-0.6,-0.4,-1.59,-0.02,-1.87,1.85
Jusuf Nurkic,2018,0.17,-1.01,-0.44,-1.78,-0.68,-2.53,1.85
Goga Bitadze,2022,0.98,-0.18,1.38,0.86,2.29,0.44,1.85
Bradley Beal,2022,2.46,1.59,-0.66,-1.25,1.44,-0.41,1.85
Derrick Favors,2019,0.72,-1.45,-0.66,-0.73,0.09,-1.76,1.85
Alec Burks,2020,2.05,-1.31,-1.31,-0.6,0.43,-1.42,1.85
Miles McBride,2022,0.0,0.0,0.89,-0.79,1.11,-0.74,1.84
Julius Randle,2020,0.59,-0.86,-0.84,-0.24,0.19,-1.65,1.84
Ante Zizic,2019,-0.34,0.31,0.44,-1.38,0.39,-1.45,1.84
Jabari Parker,2017,1.19,-1.13,0.45,0.91,1.74,-0.1,1.84
Matthew Dellavedova,2020,0.0,0.0,-0.54,-1.91,-0.26,-2.09,1.83
Jarrett Allen,2024,0.76,-1.15,1.31,0.3,1.59,-0.24,1.83
Zaza Pachulia,2018,-0.0,-0.43,1.73,0.23,1.55,-0.27,1.82
Dwight Powell,2023,-0.35,0.67,2.23,-0.14,1.9,0.08,1.82
Caris LeVert,2017,0.68,-0.88,0.9,0.22,1.55,-0.28,1.82
Trey Murphy III,2024,0.88,0.0,0.53,-0.86,1.22,-0.6,1.82
Clint Capela,2018,0.68,-1.5,0.79,-0.05,0.74,-1.07,1.81
Bojan Bogdanovic,2019,1.37,0.3,0.53,-0.76,1.67,-0.14,1.81
Justise Winslow,2020,0.26,-0.57,-0.24,-1.04,0.11,-1.7,1.81
Cody Martin,2022,1.63,-1.73,0.79,1.15,1.93,0.13,1.81
Kyle Lowry,2023,0.75,-0.33,-0.13,-0.87,0.61,-1.19,1.81
Aaron Holiday,2019,0.56,0.17,0.46,-0.66,1.25,-0.55,1.8
Justin Holiday,2020,0.86,-0.53,-0.14,-0.61,0.82,-0.98,1.8
Caleb Martin,2020,0.64,-0.65,-0.31,-0.82,0.42,-1.38,1.8
Onyeka Okongwu,2023,-0.07,-0.33,0.64,-0.47,0.78,-1.02,1.8
Jamal Murray,2017,1.18,0.08,0.74,-0.19,1.75,-0.04,1.8
Mark Williams,2024,0.69,0.41,0.81,-0.45,1.54,-0.25,1.8
Khem Birch,2021,1.26,-0.94,-1.1,-0.69,0.37,-1.42,1.8
Nicolas Batum,2017,0.49,-0.9,1.0,0.26,1.45,-0.35,1.79
Bam Adebayo,2019,-0.3,-0.94,-0.25,-1.18,-0.19,-1.99,1.79
MarShon Brooks,2019,1.05,-0.75,-0.36,-0.52,0.68,-1.11,1.79
DaQuan Jeffries,2021,0.32,-0.59,0.52,-0.35,0.92,-0.87,1.79
Josh Minott,2023,0.12,-1.18,0.37,-0.07,0.6,-1.19,1.79
Wendell Carter Jr.,2023,0.37,-0.58,-0.6,-1.36,-0.26,-2.05,1.79
Gary Harris,2019,1.4,0.68,-0.03,-1.53,0.89,-0.89,1.79
DeMarcus Cousins,2019,0.64,-2.0,-0.58,-0.37,-0.01,-1.79,1.79
Andrew Bogut,2018,1.1,-1.27,-0.89,-0.4,0.18,-1.61,1.79
Rodney McGruder,2022,1.3,0.02,-0.21,-0.7,1.12,-0.67,1.78
Isaiah Whitehead,2017,-0.18,-0.59,0.56,-0.38,0.94,-0.84,1.78
LaMarcus Aldridge,2020,1.34,-0.61,0.08,0.07,1.16,-0.62,1.78
Jeff Teague,2018,1.17,-0.79,0.74,1.03,1.76,-0.02,1.78
Nemanja Bjelica,2017,0.39,-0.66,-0.5,-1.3,-0.01,-1.79,1.78
Kyle Kuzma,2019,0.92,-0.61,1.04,0.39,1.7,-0.08,1.77
Evan Fournier,2017,1.94,-0.41,-0.69,-0.08,1.09,-0.68,1.77
Thabo Sefolosha,2019,0.0,0.0,0.48,-1.12,0.63,-1.15,1.77
Justin Holiday,2017,1.15,-0.41,-0.49,-1.05,0.41,-1.37,1.77
Jakob Poeltl,2023,1.17,-0.39,0.4,-0.04,1.3,-0.47,1.77
DeMarre Carroll,2017,0.77,-0.32,0.61,-0.23,1.03,-0.74,1.77
Keegan Murray,2024,1.28,0.27,0.63,-0.46,1.54,-0.22,1.77
Patty Mills,2018,1.69,-0.2,1.31,0.55,2.49,0.73,1.76
Pascal Siakam,2024,1.94,1.03,1.32,0.58,2.83,1.07,1.76
Clint Capela,2017,-0.03,-0.94,1.13,-0.07,0.93,-0.83,1.76
Bradley Beal,2023,2.41,0.37,1.27,0.88,3.16,1.4,1.76
George Hill,2023,0.33,-0.85,-0.81,-1.35,-0.2,-1.96,1.75
Tony Allen,2017,0.17,-0.63,0.05,-1.16,0.23,-1.52,1.75
Jericho Sims,2022,0.17,-0.16,0.23,-0.92,0.55,-1.2,1.75
John Konchar,2022,0.61,-0.95,0.31,-0.41,0.95,-0.8,1.75
Kelly Olynyk,2021,1.23,-0.29,0.86,0.6,1.92,0.18,1.74
Daniel Theis,2019,-0.29,-0.4,0.77,-0.75,0.71,-1.04,1.74
Marc Gasol,2018,0.97,-1.62,-0.62,0.57,0.59,-1.15,1.74
Oshae Brissett,2024,0.91,-0.45,0.39,-0.35,1.24,-0.5,1.74
Rajon Rondo,2021,0.95,-1.0,-0.86,-0.72,0.23,-1.51,1.74
Kelly Olynyk,2020,0.88,-0.02,0.7,0.1,1.52,-0.22,1.74
Royce O'Neale,2023,1.0,-0.64,0.02,-0.64,0.84,-0.9,1.74
Tyrese Maxey,2023,1.76,1.5,1.83,0.47,3.15,1.42,1.74
Michael Porter Jr.,2024,1.78,0.89,1.91,0.5,2.94,1.2,1.74
James Ennis III,2021,0.8,-0.43,0.27,-0.09,1.27,-0.46,1.73
Tobias Harris,2023,0.71,0.54,0.87,-0.86,1.26,-0.48,1.73
Seth Curry,2022,1.28,0.37,1.19,-0.04,2.14,0.41,1.73
Aaron Nesmith,2024,0.84,-0.19,1.04,0.37,1.78,0.05,1.73
Khris Middleton,2024,1.93,0.43,1.03,0.31,2.43,0.7,1.73
Kessler Edwards,2023,0.36,-0.7,1.13,0.44,1.62,-0.1,1.73
Denzel Valentine,2020,1.65,-0.8,-0.96,-0.53,0.7,-1.02,1.72
Daniel Hamilton,2019,0.5,-1.33,-0.23,-0.14,0.31,-1.42,1.72
Maurice Harkless,2019,-0.11,-0.58,0.98,-0.28,0.96,-0.76,1.72
Jeff Green,2018,0.67,0.52,0.38,-0.98,0.84,-0.88,1.72
Shake Milton,2023,0.98,0.17,0.53,-0.47,1.65,-0.07,1.72
Jarrett Jack,2018,0.17,-0.2,1.4,0.03,1.62,-0.09,1.72
Jae'Sean Tate,2024,0.18,-0.32,-0.63,-2.08,-0.25,-1.97,1.71
Jahmi'us Ramsey,2021,1.04,-0.44,0.21,-0.01,1.27,-0.45,1.71
George Hill,2018,1.53,-0.55,1.39,1.23,2.4,0.68,1.71
DeMarre Carroll,2019,0.62,-0.22,0.39,-0.5,0.88,-0.84,1.71
Aaron Gordon,2020,1.45,-1.15,0.23,0.69,1.43,-0.29,1.71
Malcolm Brogdon,2022,1.65,0.03,0.32,0.02,1.69,-0.02,1.71
Andre Drummond,2024,1.18,-0.61,0.85,0.24,1.88,0.17,1.71
Monte Morris,2022,1.06,0.76,1.42,0.02,2.11,0.4,1.71
Cameron Johnson,2022,1.39,0.43,0.13,-0.98,1.2,-0.51,1.71
Corey Brewer,2017,-0.1,-0.58,0.41,-0.6,0.61,-1.1,1.71
Scottie Barnes,2024,1.5,-0.97,-0.18,0.48,1.17,-0.54,1.71
Zion Williamson,2020,2.61,1.78,0.75,-0.43,2.78,1.07,1.7
Khris Middleton,2023,2.06,0.97,0.36,-0.58,1.94,0.24,1.7
Cole Anthony,2023,1.54,1.0,1.11,0.23,2.52,0.82,1.7
Nassir Little,2022,0.29,-0.26,0.3,-0.39,0.82,-0.88,1.7
Shaun Livingston,2018,0.39,-0.42,0.23,-0.8,0.77,-0.93,1.7
Terence Davis,2023,1.78,0.06,0.08,-0.24,1.66,-0.03,1.7
Bobby Portis,2018,0.79,0.48,1.56,0.35,2.15,0.46,1.7
Tobias Harris,2024,1.28,-0.19,0.91,-0.23,1.66,-0.04,1.69
Dāvis Bertāns,2017,1.07,-0.94,-0.36,-0.47,0.68,-1.01,1.69
Richaun Holmes,2020,-0.22,-0.26,0.93,-0.22,0.86,-0.83,1.69
Larry Nance Jr.,2020,0.68,-0.45,-0.39,-0.36,0.53,-1.16,1.69
Georges Niang,2021,0.67,-0.02,0.37,-1.26,0.85,-0.84,1.69
Tari Eason,2023,0.75,-0.53,-0.48,-1.04,0.4,-1.29,1.69
Svi Mykhailiuk,2020,0.73,0.01,0.35,-0.53,1.19,-0.49,1.69
Serge Ibaka,2018,0.17,-0.47,1.13,-0.36,1.12,-0.57,1.69
Richaun Holmes,2021,-0.26,-0.63,1.82,0.54,1.55,-0.13,1.69
Jamal Murray,2018,2.05,1.2,3.07,1.67,4.31,2.62,1.68
Mitchell Robinson,2022,1.0,-1.09,0.49,0.52,1.18,-0.5,1.68
Aron Baynes,2019,-0.1,-0.72,0.42,-0.77,0.47,-1.21,1.68
Gordon Hayward,2023,0.42,0.02,-0.39,-1.4,0.12,-1.56,1.68
Kevin Porter Jr.,2022,1.27,0.89,0.29,-0.29,1.65,-0.03,1.68
Collin Sexton,2024,2.92,1.46,2.49,2.38,4.84,3.16,1.68
Alperen Sengun,2023,0.77,-0.1,1.17,1.18,2.33,0.65,1.67
Devonte' Graham,2022,0.42,-0.03,1.0,0.14,1.55,-0.12,1.67
Rondae Hollis-Jefferson,2021,0.4,-1.22,0.03,-0.02,0.44,-1.24,1.67
Amir Coffey,2022,0.75,-0.28,0.93,0.4,1.93,0.25,1.67
Danilo Gallinari,2021,1.46,1.24,1.0,-0.11,2.3,0.63,1.67
Luka Garza,2024,3.75,1.76,-0.3,-0.1,3.35,1.68,1.67
Donte DiVincenzo,2019,0.53,-0.27,0.11,-0.99,0.65,-1.02,1.67
JaKarr Sampson,2019,1.17,-0.5,0.03,0.08,1.3,-0.37,1.67
Corey Kispert,2022,1.11,1.34,2.15,0.77,3.27,1.6,1.66
Frank Ntilikina,2023,0.0,0.0,0.46,-1.0,0.65,-1.01,1.66
Dirk Nowitzki,2017,0.91,-0.62,0.39,0.08,1.15,-0.51,1.66
Montrezl Harrell,2021,0.8,-0.84,-0.32,-0.94,0.45,-1.21,1.66
Tre Mann,2024,1.68,-0.18,-0.51,-0.38,1.16,-0.5,1.66
P.J. Tucker,2017,0.0,0.0,0.04,-0.85,0.34,-1.31,1.65
LaMarcus Aldridge,2021,0.65,-1.17,-0.05,0.36,0.73,-0.92,1.65
Jaylen Brown,2021,1.51,-0.19,0.4,0.03,1.66,0.01,1.65
Delon Wright,2019,1.44,0.04,-0.18,-0.44,1.23,-0.41,1.65
Patty Mills,2022,1.16,0.32,1.25,0.28,2.27,0.62,1.65
Malik Beasley,2024,0.99,1.33,1.32,-0.92,1.84,0.2,1.64
Derrick Jones Jr.,2023,-0.07,-0.17,0.35,-1.24,0.54,-1.1,1.64
Luka Doncic,2019,1.94,0.49,0.91,1.01,2.69,1.04,1.64
Lou Williams,2021,2.22,0.23,0.7,1.01,2.68,1.04,1.64
Jared Dudley,2019,0.54,-0.37,0.85,0.23,1.31,-0.33,1.64
Jeremy Lamb,2022,0.7,0.88,0.63,-0.75,1.47,-0.17,1.64
Al Horford,2021,1.8,0.17,-1.25,-1.11,0.48,-1.16,1.64
D.J. Augustin,2020,0.86,0.88,-0.22,-1.57,0.75,-0.88,1.64
DeMar DeRozan,2024,2.52,0.28,0.71,0.57,2.62,0.99,1.63
Gabe Vincent,2021,0.76,-0.99,-0.41,-0.35,0.54,-1.09,1.63
Tyler Herro,2024,2.32,0.82,0.39,0.11,2.41,0.78,1.63
Davion Mitchell,2023,0.38,-0.61,0.28,-0.29,1.0,-0.63,1.63
Isaiah Taylor,2018,-0.04,-0.3,0.2,-0.68,0.79,-0.83,1.63
Romeo Langford,2020,-0.14,-0.9,0.29,-0.53,0.4,-1.22,1.63
Stanley Johnson,2020,1.02,-1.07,-0.68,-0.34,0.41,-1.22,1.63
Xavier Tillman,2021,-0.29,-0.71,0.84,-0.25,0.85,-0.78,1.63
Noah Vonleh,2019,0.0,-0.78,0.24,0.04,0.66,-0.96,1.63
Trey Lyles,2020,0.76,0.37,1.25,0.24,2.01,0.38,1.62
Jusuf Nurkic,2021,0.58,-1.0,-0.21,-0.6,0.1,-1.53,1.62
Michael Beasley,2018,0.67,-0.84,0.75,0.98,1.68,0.06,1.62
Bruce Brown,2019,0.38,-0.47,-0.4,-1.24,0.06,-1.56,1.62
Kentavious Caldwell-Pope,2021,0.75,-0.07,0.24,-0.35,1.09,-0.54,1.62
Anthony Gill,2022,0.34,0.17,0.95,-0.39,1.42,-0.2,1.62
Amen Thompson,2024,0.25,-0.95,-0.5,-1.03,0.06,-1.56,1.62
Jae'Sean Tate,2021,0.39,-0.45,0.13,-0.24,0.83,-0.78,1.61
Robin Lopez,2017,0.94,-0.28,0.47,-0.45,1.15,-0.46,1.61
Tremont Waters,2021,1.01,-1.02,-0.16,0.23,0.92,-0.69,1.61
Stanley Johnson,2023,0.89,-0.6,0.76,0.75,1.75,0.14,1.61
Tony Bradley,2021,-0.13,-1.01,0.74,0.26,0.92,-0.69,1.61
Dennis Schroder,2019,0.97,-0.18,0.79,-0.2,1.52,-0.09,1.61
Cody Martin,2021,0.81,-0.91,-0.66,-0.69,0.19,-1.41,1.61
David West,2018,0.66,-1.24,-1.37,-1.08,-0.48,-2.08,1.6
Blake Griffin,2021,0.56,-0.43,0.1,-0.45,0.76,-0.85,1.6
Damion Lee,2020,0.32,0.3,0.13,-1.01,0.78,-0.82,1.6
Luke Kornet,2024,0.79,-0.82,0.88,0.52,1.59,-0.01,1.6
Tomas Satoransky,2021,0.09,-0.02,0.72,-0.5,0.96,-0.64,1.6
Jae Crowder,2019,0.74,-0.67,1.01,0.53,1.69,0.09,1.6
Willie Reed,2017,0.83,-0.79,-0.19,-0.58,0.36,-1.24,1.6
Trevor Ariza,2020,0.55,-0.58,-0.46,-1.03,0.12,-1.47,1.6
Javonte Green,2023,-0.64,-1.15,0.17,-1.01,-0.15,-1.74,1.59
Seth Curry,2020,1.35,0.28,1.7,0.87,2.68,1.08,1.59
Kris Murray,2024,0.35,-0.61,-0.82,-1.28,-0.07,-1.67,1.59
Max Strus,2022,1.36,0.6,1.17,0.2,2.34,0.75,1.59
CJ Elleby,2021,0.57,-0.74,-0.21,-0.44,0.49,-1.1,1.59
Michael Carter-Williams,2021,0.59,-0.45,-1.04,-1.59,-0.32,-1.91,1.59
Cody Zeller,2021,0.5,-0.24,1.21,0.27,1.64,0.05,1.59
DeMar DeRozan,2020,2.14,0.83,1.4,1.03,3.08,1.5,1.59
Ochai Agbaji,2023,1.39,0.63,0.87,0.24,2.2,0.62,1.58
Dalen Terry,2024,0.54,-0.22,0.66,-0.36,1.28,-0.3,1.58
Brandon Ingram,2019,0.36,-0.7,0.05,-0.37,0.6,-0.98,1.58
Zion Williamson,2024,2.91,0.43,0.02,0.14,2.04,0.46,1.58
Vince Carter,2018,0.31,-1.26,-0.03,-0.36,0.28,-1.3,1.58
Solomon Hill,2017,0.24,-0.11,0.34,-1.1,0.55,-1.03,1.58
Mitchell Robinson,2024,2.13,0.48,0.66,0.56,2.3,0.72,1.58
Wesley Johnson,2017,-0.03,-1.24,-1.23,-1.47,-1.0,-2.57,1.57
Jameer Nelson,2017,0.67,-0.02,0.77,-0.42,1.21,-0.36,1.57
Lamar Stevens,2024,0.32,-0.64,-0.88,-1.63,-0.3,-1.87,1.57
Jeff Teague,2019,0.64,-0.23,0.95,0.39,1.59,0.02,1.57
